randomindex,X,system.index,Aridity_Index,Biome,CHELSA_Annual_Mean_Temperature,CHELSA_Annual_Precipitation,CHELSA_Isothermality,CHELSA_Max_Temperature_of_Warmest_Month,CHELSA_Mean_Diurnal_Range,CHELSA_Mean_Temperature_of_Coldest_Quarter,CHELSA_Mean_Temperature_of_Driest_Quarter,CHELSA_Mean_Temperature_of_Warmest_Quarter,CHELSA_Mean_Temperature_of_Wettest_Quarter,CHELSA_Min_Temperature_of_Coldest_Month,CHELSA_Precipitation_Seasonality,CHELSA_Precipitation_of_Coldest_Quarter,CHELSA_Precipitation_of_Driest_Month,CHELSA_Precipitation_of_Driest_Quarter,CHELSA_Precipitation_of_Warmest_Quarter,CHELSA_Precipitation_of_Wettest_Month,CHELSA_Precipitation_of_Wettest_Quarter,CHELSA_Temperature_Annual_Range,CHELSA_Temperature_Seasonality,Depth_to_Water_Table,EarthEnvCloudCover_MODCF_interannualSD,EarthEnvCloudCover_MODCF_intraannualSD,EarthEnvCloudCover_MODCF_meanannual,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,Human_Development_Percentage,Human_Disturbance,LandCoverClass_Cultivated_and_Managed_Vegetation,LandCoverClass_Urban_Builtup,SG_Absolute_depth_to_bedrock,SG_Clay_Content_0_100cm,SG_Coarse_fragments_0_100cm,SG_Sand_Content_0_100cm,SG_Silt_Content_0_100cm,SG_Soil_pH_H2O_0_100cm,WDPA,WorldClim2_SolarRadiation_AnnualMean,WorldClim2_WindSpeed_AnnualMean,cropland,grazing,index,info_coverage,leaf_habit,no_plots,pasture,rangeland,year,.geo,longitude,latitude
47,47,00000000000000002153_0,10054,Tropical grasslands,197.00468,1502.7179,315.76517,309.09555,77.95507,110.44588,218.7619,273.9627,110.44588,62.218864,10.609452,421.91693,104.98328,334.9167,397.9172,144.98354,421.91693,246.8767,6057.2686,0,1195,811,5929,-0.27938133,0.3162282,0.11722717,14,-0.06134257,4.78E-06,4,0.29966545,78,0.5811505,78,0,4722.7373,22.037312,0.002472666,18.405003,59.666336,56.76822,0,16018.083,2.6499999,54.447956,5.8778796,0,0.639999986,9.697103119,3,5.8778796,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.47083333333333,30.420833333333334]}",-92.47083333,30.42083333
49,49,00000000000000002159_0,10090,Tropical grasslands,196.40504,1522.8508,319.60855,309.9052,79.745705,109.27173,217.9657,273.8335,109.27173,60.394672,10.419281,427.9669,105.966866,335.90057,393.96658,149.00002,427.9669,249.51054,6091.35,0,1152,788,5755,-0.5812378,0.5299994,0.13014261,15,-0.10751659,-5.29E-06,3.5,0.22935012,77,0.58143646,77,0,5507.9355,21.94292,0.1361228,21.668507,56.285137,59.333763,0,16005.833,2.6166666,54.447956,5.8778796,0,0.619047619,9.900285077,3,5.8778796,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.4625,30.487500000000004]}",-92.4625,30.4875
50,50,00000000000000002160_0,9975,Tropical grasslands,196.598,1511.1038,319.37534,309.29266,79.315765,109.82395,218.20251,273.56937,109.82395,60.94613,10.9402075,420.01816,104.983574,332.9507,403.06717,149.017,420.01816,248.34653,6063.814,0.3464003,1268,715,5865,-0.6377433,0.21179433,0.08887051,14,-0.22795346,-4.16E-05,6,0.33105195,62,0.5420516,62,0,3029.6208,23.962667,0.039972663,22.676872,53.270634,58.78188,0,16052.417,2.625,54.447956,5.8778796,0,0.541666667,0.854700923,3,5.8778796,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.42083333333333,30.4375]}",-92.42083333,30.4375
51,51,00000000000000002178_0,9895,Tropical grasslands,197.28685,1495.2324,318.81992,307.74365,78.045944,111.84034,149.06223,273.04175,270.4989,62.94735,12.519728,400.06656,105.01671,320.05014,430.0164,158.01642,445.04953,244.79631,5981.0527,0.31180027,1202,709,5930,0.44721296,-0.44721493,-0.06157872,10.5,0.015463688,0,3,0.1383553,80,0.57870233,80,0,4332.973,26.066692,0.000166586,11.234497,62.762592,57.50544,0,16058.083,2.7,55.36331,15.720673,0,0.633333333,6.042884211,3,15.720673,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.27916666666667,30.27916666666667]}",-92.27916667,30.27916667
52,52,000000000000000021b1_0,9881,Tropical grasslands,198.99394,1503.9822,315.0388,305.43607,75.03368,115.62538,151.44664,272.65744,270.32364,67.263245,16.900621,374.01614,100.98329,306.983,456.96686,170.96684,498.917,238.1728,5838.03,0,1088,963,6041,-9.42E-07,-0.70710754,-0.107644916,5.5,-2.91E-08,-1.39E-05,4,0.20721093,62,0.58617884,62,0,3722.6172,27.14703,0.57593733,18.148453,54.82696,62.859936,0,16063.333,3.1,53.320423,18.241419,0,0.944444444,8.000800471,2,18.241419,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.97083333333333,30.02916666666667]}",-91.97083333,30.02916667
54,54,00000000000000001f6c_0,6487,Tropical grasslands,203.35046,1048.9174,331.27884,329.82327,89.14378,112.61981,282.07376,284.22046,229.70538,60.733356,19.133373,237.98357,62,207.96715,208,119.983574,327.98358,269.0899,6281.7197,3.9730606,1228,495,5852,-0.43400928,0.8743573,0.4451244,59.5,-0.16626845,3.84E-05,8.5,0.6659243,51,0.3727968,51,0,2300.9746,23.92418,1.1059371,54.208992,21.79169,57.393364,0,16096.25,3.05,25.732788,58.994064,0,0.923076923,8.5648125,3,58.994064,0,1975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.0625,30.02916666666667]}",-96.0625,30.02916667
57,57,0000000000000000201b_0,7957,Tropical grasslands,205.26819,1292.4858,323.1278,320.8606,80.84141,119.51955,156.40527,281.3689,262.60574,70.6766,14.2125025,308.78406,77.98356,246.91724,320.93423,131.98355,388.95065,250.18398,5974.8228,6.090719,1061,551,5640,0.9231511,0.091378376,0.07660742,19.5,0.59555626,1.84E-05,10.5,0.76166373,21,0.5403682,21,0,856.8554,22.656021,1.0841662,47.034157,30.390772,57.936577,0,16084,4.0833335,9.854841,5.3307376,0,0.913043478,6.516002178,3,0,5.3307376,1975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.1125,29.887500000000003]}",-95.1125,29.8875
58,58,00000000000000002068_0,8845,Tropical grasslands,208.69824,1410.1686,256.39792,311.01892,57.133358,126.56011,157.9952,283.1036,262.54153,88.18812,16.775982,359.05103,84.01672,264.05017,369.03372,149.98386,421.05072,222.8308,5808.4985,0,1132,552,6124,0.35507378,0.5478674,0.09242714,7,0.0610502,1.48E-05,4,0.25681338,11,0.2957721,11,0,2092.9788,32.241356,0.04970504,30.887531,36.953793,54.131657,0,16064.333,3.7583332,38.040226,28.354523,0,0.972972973,12.03519978,3,0,28.354523,1975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.24583333333334,29.862500000000004]}",-94.24583333,29.8625
59,59,00000000000000002084_0,9269,Tropical grasslands,206.8673,1482.0835,261.9284,312.61215,60.01815,122.614784,155.25241,283.12006,279.11957,83.47267,14.354075,382.06656,90,283.0167,384.9671,150.98328,432.98325,229.13947,5941.628,0,1086,685,5963,-0.79730165,0.15811442,0.030740222,12,-0.1524773,-4.17E-06,5,0.25681338,18,0.5837092,18,0,1693.2864,24.432713,0,31.054314,44.48239,54.17978,0,15951.583,3.2583332,3.2108777,25.56352,0,0.909090909,0,3,25.56352,0,1975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.99583333333334,30.112500000000004]}",-93.99583333,30.1125
63,63,000000000000000021af_0,9881,Tropical grasslands,198.99394,1503.9822,315.0388,305.43607,75.03368,115.62538,151.44664,272.65744,270.32364,67.263245,16.900621,374.01614,100.98329,306.983,456.96686,170.96684,498.917,238.1728,5838.03,0,1088,963,6041,-9.42E-07,-0.70710754,-0.107644916,5.5,-2.91E-08,-1.39E-05,4,0.20721093,62,0.58617884,62,0,3722.6172,27.14703,0.57593733,18.148453,54.82696,62.859936,0,16063.333,3.1,53.320423,18.241419,0,0.913043478,5.070545429,1,18.241419,0,1984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.97083333333333,30.02916666666667]}",-91.97083333,30.02916667
65,65,0000000000000000202c_0,7612,Tropical grasslands,207.53552,1313.9993,303.59293,316.81165,72.285576,124.1595,158.31248,281.82632,267.7017,78.71135,14.674787,322.03345,79,247.01672,344.96658,137.98329,388.9499,238.10028,5834.7407,0,1203,656,5369,0.28535944,-0.8773146,-0.12335435,6,0.061166048,1.46E-05,5,0.31243277,47,0.6921241,35,12,2446.5225,36.464054,0.032637306,28.807693,34.73185,60.16084,0,16074.417,4.4333334,6.523686,9.371778,0,0.875,7.142857143,2,0,9.371778,1986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.9375,29.72083333333333]}",-94.9375,29.72083333
72,72,00000000000000001f77_0,6472,Tropical grasslands,204.5625,1044.2,331.6214,327.57672,87.39345,115.53833,155.28024,283.46182,263.3004,64.04289,17.708132,235.08357,65.016426,205.04956,223.0164,116.016426,325.98355,263.53384,6163.8735,0,1238,582,5899,0.090535015,-0.098058805,-0.015404624,48,0.03033808,-9.76E-07,6,0.341709,55,0.43294165,55,0,4102.3994,28.978495,0.5087722,42.824783,28.151817,61.90881,0,16040,3.0666666,25.28024,61.030487,0,0.965517241,11.66379214,2,61.030487,0,2003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.00416666666666,29.84583333333333]}",-96.00416667,29.84583333
204,204,00000000000000003a2b_0,15934,Tropical grasslands,242.96335,1368.2372,584.0225,277.52887,42.077507,233.4578,233.79987,251.5676,241.28604,205.48112,69.70158,39.966434,4,16,460.54544,258.6474,765.90906,72.04777,636.46295,15.693967,806,697,8010,-0.022088272,0.90763336,0.45886007,302,0.12551135,-4.57E-05,34.5,2.3129754,0,0.53702,0,0,5356.4805,35.78697,13.216458,49.462563,14.696461,48.938732,0,12003.333,0.94166666,0.34778765,27.621202,0,0.664122137,10.9974877,2,27.621202,0,2016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.579166666666652,-0.19583333333332575]}",11.57916667,-0.195833333
207,207,00000000000000003a37_0,15767,Tropical grasslands,244.51337,1252.066,582.4746,279.2663,42.073837,234.94556,235.30634,253.28448,242.81952,207.03336,69.454384,37.01643,4,16,426.04962,236,696.9832,72.23292,642.12634,0,817,754,8009,0.3368942,0.58121425,-0.0152728,272,0.42273748,-5.89E-05,38,2.4347758,13,0.58622867,13,0,6817.314,33.493675,13.809811,50.452545,16.024971,51.21662,0,12008.417,0.9166667,2.4299357,66.674545,0,0.966367713,0,2,66.674545,0,2016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.587500000000006,-0.19583333333332575]}",11.5875,-0.195833333
245,245,000000000000000022fa_0,12816,Boreal forests or taiga,10.283054,892.29553,170.004,167.39397,57.27318,-122.82486,-81.94326,134.1145,115.41483,-169.4991,19.551035,162.93231,46.98301,152.91612,251.69844,94.91612,276.73163,336.89307,9262.028,0,947,816,6572,0.56747925,0.63236594,0.5601822,467.5,0.28526935,4.49E-05,15.5,1.2355902,0,0.000611324,0,0,1257.7919,16.674225,23.51827,48.452847,34.864407,53.85034,0,11938.5,3.975,0,0.35257035,0,0.985294118,16.79257397,1,0.35257035,0,2005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.19583333333334,49.00416666666667]}",-87.19583333,49.00416667
282,282,000000000000000017b5_0,15522,Temperate conifer forests,112.70835,1486.4054,343.30084,266.78625,88.22705,36.232628,200.07564,200.07564,36.232628,9.789931,53.68773,666.1187,34.00028,108.06713,108.06713,224.05072,666.1187,256.99634,5880.6045,2.729153,1146,1346,6565,0.57735026,0.52764356,0.213547,140.5,-0.021597642,-0.000124392,27,2.109116,15,0.6592035,0,15,2248.363,11.895056,19.644993,52.198956,36.088642,55.36187,0,11907,2.4833333,0,0,0,0.80952381,17.64705882,1,0,0,2001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.79583333333333,47.4875]}",-121.7958333,47.4875
304,304,0000000000000000237d_0,10021,Temperate broadleaf forests,156.99489,1638.0685,298.8488,302.0086,88.02956,55.237606,176.12573,253.79636,97.20194,7.4463816,14.617869,456.30008,107.06686,322.25043,418.26712,177.11674,511.3338,294.56226,7336.1553,18.554592,1045,467,5221,-0.27564344,-0.92557484,-0.6623189,286,-0.07532075,8.76E-05,25,1.7853118,24,0.4167226,24,0,1857.3351,29.327177,4.0904274,40.54016,30.068945,55.28656,0,15608,2.475,6.020573,12.9564085,0,0.846153846,13.55579836,3,12.9564085,0,1968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.8375,34.77916666666667]}",-82.8375,34.77916667
305,305,000000000000000021bc_0,9982,Temperate broadleaf forests,192.86674,1397.1509,333.24426,315.87317,88.70384,100.72141,257.5795,274.52237,100.72141,49.690544,15.244657,424.05014,90.01671,272.01666,285.0337,144.01671,424.05014,266.18265,6415.836,0,1323,685,5396,-0.12592676,-0.70710754,-0.07722965,16,-0.030612525,-1.44E-05,4,0.20219056,37,0.09655891,37,0,1631.4727,31.35182,0,24.861347,43.839798,58.643784,0,16040.667,2.5583334,27.03799,1.2515622,0,0.705882353,2.615334833,3,1.2515622,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.8625,31.179166666666667]}",-91.8625,31.17916667
306,306,000000000000000021be_0,9592,Temperate broadleaf forests,190.80692,1318.5509,319.6315,320.66943,88.41388,93.37284,258.82065,278.30588,93.37284,44.057503,18.824785,393.15048,75.01672,235.05017,274.1165,137.05016,393.15048,276.6119,6796.0938,0,1180,578,5339,-0.7071073,-0.70710623,-0.107694015,15,-0.16867298,6.57E-07,3,0.18562283,21,0.120627105,21,0,2042.4205,35.905575,0,24.536564,39.584,59.46911,0,15876.417,2.6833334,24.279734,13.168546,0,0.699999988,0,2,13.168546,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85416666666667,31.887500000000003]}",-91.85416667,31.8875
307,307,000000000000000021fa_0,9251,Temperate broadleaf forests,188.04129,1390.5673,317.99936,318.63202,88.58582,89.654,256.58047,276.39047,89.654,40.059666,19.797838,423.89975,77.98329,243.93344,280.86716,145.96658,423.89975,278.57236,6865.2666,2.586621,1187,545,5334,-0.3725211,0.8485317,0.55287075,30,-0.2212377,-4.36E-06,10,0.83850145,25,0.029693298,25,0,1289.7186,30.398659,0.14432117,26.752245,42.854885,53.448418,0,15940.083,2.8,39.105824,2.3172443,0,0.763157895,1.967285862,3,2.3172443,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.3875,32.0625]}",-91.3875,32.0625
308,308,00000000000000002220_0,11022,Temperate broadleaf forests,206.38907,1658.1669,262.18842,300.36276,55.488308,128.31966,186.59586,276.15903,273.52075,88.7276,22.55998,400.0836,98.01672,312.05017,563.0164,209.01643,579.04956,211.63516,5522.1675,0,1170,834,6025,0.19611499,-0.70710623,-0.030907594,7,0.015404438,0,2,0.09266788,21,0.29425448,21,0,2342.0562,46.75795,0.043429434,18.869987,34.39016,57.060883,0,16351.167,3.0333333,1.3157018,0,0,0.888888889,2.391974926,3,0,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.92083333333333,29.6875]}",-90.92083333,29.6875
311,311,00000000000000001f9e_0,6324,Temperate broadleaf forests,199.68657,1051.2985,320.34836,338.26068,91.99346,102.223816,289.56512,289.56512,226.87003,51.093746,17.860508,246.08273,62.016724,188.05017,188.05017,114.01672,322.08304,287.16693,6806.722,0,1149,390,5302,0.55023813,0.50006926,0.16685128,52.5,0.27410048,-4.56E-05,8,0.5009395,41,0.16330124,41,0,2860.1743,26.177124,0.67302924,45.351994,28.537788,61.132996,0,16182.417,3.1,18.986721,41.094807,0,0.90625,0.406187897,3,41.094807,0,1975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.75416666666666,31.137500000000003]}",-95.75416667,31.1375
313,313,000000000000000025ea_0,8377,Temperate broadleaf forests,125.05227,873.8291,267.8289,288.7343,86.39126,14.27585,15.842389,234.245,204.05688,-33.827168,16.75301,175.14888,52.01645,162.08252,242.23195,94.11652,269.2994,322.5615,8177.092,6.770773,1012,330,6185,0.058488782,0.42956114,-0.053498156,306.5,0.066759594,-0.000314417,96.5,7.5678167,0,0.2409686,0,0,1205.2843,23.901155,20.04121,36.180164,39.880653,54.861378,0,14100.5,2.4916668,7.974686,26.405693,0,0.945945946,12.4931314,3,26.405693,0,1977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.24583333333334,38.6875]}",-78.24583333,38.6875
316,316,000000000000000022f2_0,10288,Temperate broadleaf forests,146.25763,1410.4355,271.31638,300.15146,85.158325,33.09259,169.95258,251.8453,79.864174,-13.719487,19.699104,422.7011,73.000015,234.01675,287.9173,151.917,438.76746,313.8709,8015.4653,25.330517,955,496,6011,-0.6553085,-0.36518407,-0.2278817,272,-0.31553903,4.49E-06,10,0.8171954,49,0.38612503,49,0,2647.4023,24.13372,7.409262,16.025562,59.835682,52.630493,0,14842.75,3.275,21.170933,39.46226,0,0.965517241,3.860638596,1,39.46226,0,1980,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.4375,36.1375]}",-87.4375,36.1375
318,318,00000000000000002712_0,7787,Temperate broadleaf forests,130.65561,1093.5875,258.04718,298.11453,84.57518,16.90288,17.360342,243.4802,160.87102,-29.636312,11.629703,249.88448,70.967155,225.88475,309.85132,109.983604,309.91763,327.75085,8433.13,12.8734455,1002,264,6107,-0.45560986,0.5780725,0.5042799,139.5,-0.3552541,-6.43E-05,18.5,1.505655,76,0.43727478,76,0,1100.5592,23.84076,9.223857,31.02492,45.054485,56.08083,0,13875.833,2.7083333,38.32,35.380466,0,0.916666667,16.11317282,1,35.380466,0,1999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3625,39.19583333333333]}",-77.3625,39.19583333
374,374,00000000000000000e64_0,13463,Temperate broadleaf forests,108.09883,1758.5007,221.97424,257.08478,68.43976,-9.270493,-9.270493,227.13997,227.13997,-51.238247,72.8811,104.96699,29.00002,104.96699,1001.8351,338.65088,1001.8351,308.32303,8472.441,155.12787,990,1432,6310,-0.960714,0.008789964,0.03526395,667.5,0.018987987,7.31E-05,199.5,17.58847,0,0.4560542,0,0,3422.787,22.325966,20.147625,38.971138,38.720924,57.60843,0,13932.333,3.3583333,0.94334966,0,0,0.979166667,5.484225979,1,0,0,2011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.65416666666664,35.112500000000004]}",127.6541667,35.1125
375,375,00000000000000000e65_0,13463,Temperate broadleaf forests,108.09883,1758.5007,221.97424,257.08478,68.43976,-9.270493,-9.270493,227.13997,227.13997,-51.238247,72.8811,104.96699,29.00002,104.96699,1001.8351,338.65088,1001.8351,308.32303,8472.441,155.12787,990,1432,6310,-0.960714,0.008789964,0.03526395,667.5,0.018987987,7.31E-05,199.5,17.58847,0,0.4560542,0,0,3422.787,22.325966,20.147625,38.971138,38.720924,57.60843,0,13932.333,3.3583333,0.94334966,0,0,0.973684211,3.026949405,1,0,0,2011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.65416666666664,35.112500000000004]}",127.6541667,35.1125
